JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10211,CaPdF4,140,I4/mcm,tetragonal,3D,1.0099,na,-354.4591433,446.30045,1408.008601,172.0761261,11864.16373,869.9222933,0.758064929,0.103045015,2.844682006,2.844682006,-366.28017,454.49581
JVASP-10212,LiNO3,167,R-3c,trigonal,3D,3.0488,1.9643,-398.8344433,496.70104,878.6793143,1356.208743,5548.218133,5328.185733,0.497826356,0.773887259,6.384851575,6.384851575,-394.8645367,489.1039167
JVASP-10213,Li2ZnGeO4,7,Pc,monoclinic,3D,3.2565,3.6417,-131.3183433,433.0732233,906.7494849,699.475621,52705.29233,3903.053733,0.334555104,0.408961068,0.581908418,0.581908418,-111.9037333,449.2036533
JVASP-10214,K2ZnO2,72,Ibam,orthorhombic,1D,2.3419,4.1571,-105.22693,403.2411033,674.1498057,591.0067397,60577.86,3700.1421,0.224015434,0.348049473,0.388499107,0.388499107,-100.8867667,414.1461533
JVASP-10215,Tl2SiS3,2,P-1,triclinic,2D,2.0516,na,-243.5970967,273.2201233,2137.702472,1645.576393,38686.406,22052.77163,0.9057259,0.722239002,0.714669936,0.714669936,-275.52402,298.7973333
JVASP-10216,AgP2,14,P2_1/c,monoclinic,2D,0.672,na,-247.21291,158.5974867,2821.776643,1355.099597,46170.32667,57275.643,1.068687808,0.436814676,0.463264066,0.463264066,-243.7988567,180.5991467
JVASP-10217,Rb3PdF5,127,P4/mbm,tetragonal,3D,2.2482,na,-402.13228,515.18775,17.96413863,24.23941132,109.3416433,91.47703667,0.010778225,0.014536333,380.5822598,380.5822598,-390.70246,583.5321633
JVASP-10219,Zr(PS3)2,84,P4_2/m,tetragonal,1D,1.6694,2.012,-190.2317833,282.9159967,893.0603925,1826.198963,23730.20067,23568.39933,0.424270723,0.891844965,0.92667431,0.92667431,-190.95307,295.5139633
JVASP-10220,Zn(PtO2)3,65,Cmmm,orthorhombic,3D,0.0023,0.6706,-224.6409597,-45.05465667,676.9816648,4496.357082,18421.53273,61502.6117,0.348309135,0.837141227,0.020786058,0.020786058,-295.09947,-14.03393667
JVASP-10221,Mg(PtO2)3,65,Cmmm,orthorhombic,3D,0.0152,0.6859,-228.9767367,-30.76113667,530.2354302,4351.323916,18078.02033,59016.57323,0.289604039,0.809140143,0.020734162,0.020734162,-282.3045167,-52.15896667
JVASP-10222,Cd(PtO2)3,65,Cmmm,orthorhombic,3D,0.0143,0.4465,-225.5621393,-131.01554,869.2588573,3203.706757,18648.87073,38574.82637,0.450219412,0.668572309,0.014936181,0.014936181,-194.7313087,-137.7354033
JVASP-10224,Zn(PO3)2,15,C2/c,monoclinic,3D,5.064,6.6249,-135.8041067,460.39764,926.3110827,634.6913835,50196.784,2993.5541,0.344099913,0.373564698,0.604308071,0.604308071,-121.8880767,463.3189067
JVASP-10225,K2SiP2,72,Ibam,orthorhombic,3D,1.261,na,-238.2437367,243.1897233,1729.068414,1515.651311,27935.33033,19670.8567,0.713393576,0.632220163,1.045150651,1.045150651,-220.2535867,243.1651367
JVASP-10226,Rb2TeO3,12,C2/m,monoclinic,3D,3.6897,4.7287,-305.50378,417.5106033,1042.891427,236.6765238,10140.45683,1519.478467,0.575526089,0.140999969,2.299093938,2.299093938,-290.5787967,398.7817067
